Serie_0 timestamps,Serie_0  T L S 1.3,Serie_0  T L S 1.2,Serie_0  T L S  Q U I C,Serie_0  T L S 1.0,Serie_0  T L S 1.1
2021-12-27T00:00:00Z,57.352173,26.4258,16.125835,0.094034,0.002158
2022-01-03T00:00:00Z,58.083124,25.772036,16.048786,0.093786,0.002267
2022-01-10T00:00:00Z,60.193677,24.1796,15.526306,0.098314,0.002102
2022-01-17T00:00:00Z,62.160286,22.902942,14.831379,0.103369,0.002024
2022-01-24T00:00:00Z,62.236738,22.158785,15.504946,0.097654,0.001877
2022-01-31T00:00:00Z,61.547738,22.837709,15.517756,0.094819,0.001978
2022-02-07T00:00:00Z,61.281448,22.931735,15.68761,0.097516,0.00169
2022-02-14T00:00:00Z,60.107039,23.925943,15.865329,0.100227,0.001462
2022-02-21T00:00:00Z,60.200425,23.947939,15.752295,0.097805,0.001536
2022-02-28T00:00:00Z,60.777542,23.282959,15.832744,0.104768,0.001987
2022-03-07T00:00:00Z,59.621074,23.773829,16.501563,0.10171,0.001823
2022-03-14T00:00:00Z,58.833328,24.3278,16.750593,0.086204,0.002074
2022-03-21T00:00:00Z,59.15796,23.70333,17.043064,0.093764,0.001882
2022-03-28T00:00:00Z,59.57658,23.724185,16.581634,0.115782,0.001818
2022-04-04T00:00:00Z,59.241868,23.917425,16.74471,0.093956,0.002041
2022-04-11T00:00:00Z,58.764553,23.379567,17.769442,0.084929,0.00151
2022-04-18T00:00:00Z,58.802347,23.444269,17.658675,0.09316,0.001549
2022-04-25T00:00:00Z,59.062404,23.532579,17.309207,0.092518,0.003292
2022-05-02T00:00:00Z,59.167835,23.485976,17.266117,0.078454,0.001617
2022-05-09T00:00:00Z,58.822658,23.612748,17.481474,0.081165,0.001955
2022-05-16T00:00:00Z,58.783143,23.042483,18.096058,0.077035,0.001282
2022-05-23T00:00:00Z,58.834454,22.606122,18.480026,0.077247,0.002152
2022-05-30T00:00:00Z,58.970532,22.890866,18.063661,0.073376,0.001565
2022-06-06T00:00:00Z,59.335783,22.260599,18.32341,0.078402,0.001805
2022-06-13T00:00:00Z,60.542809,21.837359,17.552021,0.066498,0.001314
2022-06-20T00:00:00Z,58.903848,20.8951,20.115807,0.083221,0.002023
2022-06-27T00:00:00Z,58.192111,20.115221,21.621547,0.069834,0.001287
2022-07-04T00:00:00Z,58.879341,20.245805,20.798239,0.074514,0.0021
2022-07-11T00:00:00Z,58.554163,19.894762,21.480389,0.069012,0.001674
2022-07-18T00:00:00Z,58.628999,19.718573,21.582784,0.068173,0.001472
2022-07-25T00:00:00Z,59.195133,19.352294,21.376188,0.07424,0.002146
2022-08-01T00:00:00Z,58.539794,18.300866,23.095155,0.062282,0.001904
2022-08-08T00:00:00Z,58.650592,17.973285,23.317227,0.056746,0.00215
2022-08-15T00:00:00Z,58.702795,17.838684,23.397026,0.059522,0.001973
2022-08-22T00:00:00Z,58.930406,17.786183,23.222468,0.058715,0.002228
2022-08-29T00:00:00Z,60.108604,18.04906,21.789339,0.051817,0.001181
2022-09-05T00:00:00Z,59.672514,16.944716,23.328295,0.052835,0.001641
2022-09-12T00:00:00Z,61.339478,17.603186,20.991914,0.063597,0.001826
2022-09-19T00:00:00Z,63.681335,17.431542,18.831248,0.053719,0.002156
2022-09-26T00:00:00Z,63.860512,17.602194,18.483425,0.050578,0.003291
2022-10-03T00:00:00Z,63.098015,17.135561,19.712521,0.051848,0.002055
2022-10-10T00:00:00Z,63.932163,17.221628,18.790277,0.051915,0.004017
2022-10-17T00:00:00Z,64.489369,17.394301,18.062948,0.051201,0.002182
2022-10-24T00:00:00Z,64.72639,16.75641,18.473075,0.042103,0.002022
2022-10-31T00:00:00Z,65.192708,16.235468,18.51352,0.05604,0.002264
2022-11-07T00:00:00Z,64.826094,16.483549,18.636524,0.051748,0.002085
2022-11-14T00:00:00Z,64.637263,16.242481,19.066899,0.051259,0.002098
2022-11-21T00:00:00Z,64.669645,15.858093,19.427994,0.041482,0.002786
2022-11-28T00:00:00Z,63.307861,17.787474,18.861478,0.040129,0.003058
2022-12-05T00:00:00Z,64.306978,17.048737,18.592887,0.048649,0.002749
2022-12-12T00:00:00Z,64.824216,16.339065,18.789821,0.044549,0.002348
2022-12-19T00:00:00Z,65.130727,16.339711,18.487322,0.039478,0.002762
2022-12-26T00:00:00Z,65.799761,15.916722,18.242906,0.037449,0.003162
