anomaly_count,confirmed_count,failure_count,measurement_count,measurement_start_day,ok_count,test_name
0,0,0,120,2022-09-09,120,stunreachability
0,0,0,132,2022-09-11,132,stunreachability
0,0,0,24,2022-09-12,24,stunreachability
0,0,0,60,2022-09-13,60,stunreachability
3,0,0,84,2022-09-14,81,stunreachability
0,0,0,72,2022-09-15,72,stunreachability
0,0,0,108,2022-09-16,108,stunreachability
0,0,0,47,2022-09-17,47,stunreachability
0,0,0,13,2022-09-18,13,stunreachability
0,0,0,1,2022-04-11,1,tor
0,0,0,4,2022-04-13,4,tor
0,0,0,3,2022-04-14,3,tor
0,0,0,3,2022-04-15,3,tor
0,0,0,10,2022-04-16,10,tor
0,0,0,2,2022-04-17,2,tor
0,0,0,6,2022-04-18,6,tor
0,0,0,3,2022-04-20,3,tor
0,0,0,4,2022-04-22,4,tor
0,0,0,3,2022-04-24,3,tor
0,0,0,3,2022-04-25,3,tor
0,0,0,8,2022-04-29,8,tor
0,0,0,12,2022-04-30,12,tor
0,0,0,6,2022-05-01,6,tor
0,0,0,7,2022-05-02,7,tor
0,0,0,6,2022-05-03,6,tor
0,0,0,3,2022-05-04,3,tor
0,0,0,3,2022-05-06,3,tor
0,0,0,2,2022-05-07,2,tor
0,0,0,3,2022-05-09,3,tor
0,0,0,3,2022-05-10,3,tor
0,0,0,7,2022-05-11,7,tor
0,0,0,4,2022-05-12,4,tor
0,0,0,4,2022-05-13,4,tor
0,0,0,4,2022-05-14,4,tor
0,0,0,4,2022-05-15,4,tor
0,0,0,1,2022-05-16,1,tor
0,0,0,2,2022-05-17,2,tor
0,0,0,2,2022-05-18,2,tor
0,0,0,3,2022-05-19,3,tor
0,0,0,4,2022-05-21,4,tor
0,0,0,5,2022-05-23,5,tor
1,0,0,4,2022-05-24,3,tor
0,0,0,6,2022-05-25,6,tor
0,0,0,4,2022-05-29,4,tor
0,0,0,7,2022-05-30,7,tor
0,0,0,2,2022-05-31,2,tor
0,0,0,5,2022-06-01,5,tor
0,0,0,7,2022-06-02,7,tor
0,0,0,4,2022-06-03,4,tor
0,0,0,5,2022-06-06,5,tor
0,0,0,1,2022-06-07,1,tor
0,0,0,2,2022-06-08,2,tor
0,0,0,6,2022-06-09,6,tor
0,0,0,5,2022-06-10,5,tor
0,0,0,2,2022-06-12,2,tor
0,0,0,1,2022-06-13,1,tor
0,0,0,7,2022-06-15,7,tor
0,0,0,8,2022-06-16,8,tor
0,0,0,5,2022-06-17,5,tor
0,0,0,4,2022-06-18,4,tor
1,0,0,6,2022-06-19,5,tor
0,0,0,2,2022-06-20,2,tor
0,0,0,1,2022-06-21,1,tor
0,0,0,9,2022-06-22,9,tor
0,0,0,3,2022-06-23,3,tor
0,0,0,9,2022-06-24,9,tor
0,0,0,10,2022-06-25,10,tor
1,0,0,3,2022-06-26,2,tor
0,0,0,4,2022-06-27,4,tor
0,0,0,2,2022-06-29,2,tor
0,0,0,4,2022-06-30,4,tor
0,0,0,2,2022-07-01,2,tor
0,0,0,7,2022-07-02,7,tor
1,0,0,10,2022-07-03,9,tor
2,0,0,5,2022-07-05,3,tor
2,0,0,10,2022-07-06,8,tor
0,0,0,3,2022-07-08,3,tor
0,0,0,3,2022-07-09,3,tor
0,0,0,4,2022-07-10,4,tor
0,0,0,2,2022-07-11,2,tor
0,0,0,2,2022-07-13,2,tor
1,0,0,1,2022-07-14,0,tor
1,0,0,4,2022-07-15,3,tor
1,0,0,6,2022-07-16,5,tor
0,0,0,7,2022-07-17,7,tor
0,0,0,3,2022-07-19,3,tor
0,0,0,8,2022-07-20,8,tor
5,0,0,5,2022-07-21,0,tor
1,0,0,3,2022-07-22,2,tor
0,0,0,2,2022-07-23,2,tor
0,0,0,3,2022-07-27,3,tor
2,0,0,2,2022-07-28,0,tor
0,0,0,2,2022-07-30,2,tor
0,0,0,3,2022-07-31,3,tor
0,0,0,2,2022-08-02,2,tor
0,0,0,6,2022-08-03,6,tor
0,0,0,4,2022-08-04,4,tor
0,0,0,6,2022-08-05,6,tor
0,0,0,5,2022-08-06,5,tor
2,0,0,8,2022-08-07,6,tor
0,0,0,4,2022-08-08,4,tor
0,0,0,3,2022-08-09,3,tor
0,0,0,2,2022-08-11,2,tor
0,0,0,3,2022-08-13,3,tor
0,0,0,3,2022-08-14,3,tor
0,0,0,3,2022-08-15,3,tor
0,0,0,3,2022-08-16,3,tor
0,0,0,7,2022-08-17,7,tor
0,0,0,2,2022-08-19,2,tor
0,0,0,2,2022-08-20,2,tor
0,0,0,6,2022-08-21,6,tor
0,0,0,4,2022-08-22,4,tor
0,0,0,6,2022-08-24,6,tor
0,0,0,2,2022-08-25,2,tor
0,0,0,3,2022-08-26,3,tor
0,0,0,2,2022-08-29,2,tor
0,0,0,2,2022-08-30,2,tor
0,0,0,3,2022-08-31,3,tor
0,0,0,9,2022-09-01,9,tor
0,0,0,3,2022-09-02,3,tor
0,0,0,4,2022-09-03,4,tor
0,0,0,5,2022-09-04,5,tor
0,0,0,1,2022-09-05,1,tor
0,0,0,6,2022-09-06,6,tor
0,0,0,4,2022-09-07,4,tor
0,0,0,10,2022-09-09,10,tor
0,0,0,11,2022-09-11,11,tor
0,0,0,2,2022-09-12,2,tor
0,0,0,5,2022-09-13,5,tor
0,0,0,7,2022-09-14,7,tor
0,0,0,6,2022-09-15,6,tor
0,0,0,9,2022-09-16,9,tor
0,0,0,4,2022-09-17,4,tor
0,0,0,1,2022-09-18,1,tor
0,0,0,1,2022-08-29,1,torsf
0,0,0,2,2022-08-30,2,torsf
0,0,0,3,2022-08-31,3,torsf
0,0,0,9,2022-09-01,9,torsf
0,0,0,3,2022-09-02,3,torsf
0,0,0,4,2022-09-03,4,torsf
0,0,0,5,2022-09-04,5,torsf
0,0,0,1,2022-09-05,1,torsf
0,0,0,6,2022-09-06,6,torsf
0,0,0,4,2022-09-07,4,torsf
0,0,0,10,2022-09-09,10,torsf
0,0,0,11,2022-09-11,11,torsf
0,0,0,2,2022-09-12,2,torsf
0,0,0,5,2022-09-13,5,torsf
0,0,0,7,2022-09-14,7,torsf
0,0,0,6,2022-09-15,6,torsf
0,0,0,9,2022-09-16,9,torsf
0,0,0,4,2022-09-17,4,torsf
0,0,0,1,2022-09-18,1,torsf
